MARKET,SERIES,SYMBOL,SECURITY,PREVIOUS CLOSE PRICE,OPEN PRICE,HIGH PRICE,LOW PRICE,CLOSE PRICE,NET TRADED VALUE,NET TRADED QTY,TRADES,52 WEEK HIGH,52 WEEK LOW,UNDERLYING
N,EQ,LIQUID,MIRAEAMC - LIQUID,       999.99,      1000.00,      1000.00,       999.99,       999.99,                133722534.09,133723,262,      1024.98,       997.15,MIRAE ASSET NIFTY 1D RATE LIQUID ETF
N,EQ,LIQUID1,KOTAKMAMC - KOTAKLIQ,      1107.29,      1108.99,      1108.99,      1106.12,      1107.75,                432484013.53,390419,7503,      1136.18,      1030.28,KOTAK NIFTY 1D RATE LIQUID ETF
N,EQ,LIQUIDADD,DSPAMC - LIQUIDADD,      1129.47,      1129.91,      1129.93,      1129.91,      1129.92,                329190987.62,291340,265,      1151.22,      1052.08,DSP S&P BSE LIQUID RATE ETF
N,EQ,LIQUIDBEES,NIP IND ETF LIQUID BEES,       999.99,       999.99,      1000.01,       999.99,      1000.00,               2379851454.00,2379849,6095,      1029.99,       969.99,GOVERNMENT SECURITIES
N,EQ,LIQUIDBETF,BFAM - LIQUIDBETF,      1084.35,      1082.35,      1084.80,      1082.35,      1084.79,                360225366.00,332069,123,      1207.50,      1002.17,BAJAJ FINSERV NIFTY 1D RATE LIQUID ETF
N,EQ,LIQUIDCASE,ZERODHAAMC - LIQUIDCASE,       114.37,       114.43,       114.43,       114.41,       114.42,               2159902051.28,18876507,11759,       114.43,       102.00,ZERODHA NIFTY 1D RATE LIQUID ETF
N,EQ,LIQUIDETF,DSP LIQUID ETF,      1000.00,      1000.00,      1000.01,       999.99,      1000.00,               1642032971.39,1642033,475,      1025.00,       997.55,NIFTY1D RATE INDEX
N,EQ,LIQUIDIETF,ICICIPRAMC - ICICILIQ,       999.99,      1000.00,      1000.01,       999.99,       999.99,                314901765.92,314902,300,      1041.19,       969.99,S&P BSE LIQUID RATE INDEX
N,EQ,LIQUIDPLUS,MIRAEAMC - LIQUIDPLUS,      1088.29,      1088.00,      1088.74,      1088.00,      1088.73,                435155577.09,399691,306,      1088.74,      1018.24,NIFTY 1D RATE INDEX
N,EQ,LIQUIDSBI,SBIAMC - LIQUIDSBI,      1000.01,      1000.00,      1000.01,       999.99,       999.99,                 12372072.17,12372,28,      1029.99,       970.23,SBI NIFTY 1D RATE ETF
N,EQ,LIQUIDSHRI,SHRIRAM - LIQUIDSHRI,      1107.14,      1107.56,      1107.58,      1107.56,      1107.57,                 11774644.89,10631,49,      1107.58,      1055.50,SHRIRAM NIFTY 1D RATE LIQUID ETF
N,EQ,LOWVOL,MIRAEAMC - MANV30F,       198.16,       198.32,       198.43,       197.61,       198.13,                    39556.99,200,9,       219.10,       183.58,MIRAE ASSET NIFTY 100 LOW VOLATILITY 30 ETF
N,EQ,LOWVOL1,KOTAKMAMC - KOTAKLOVOL,        20.18,        19.67,        20.63,        19.67,        20.14,                  1798266.05,88912,184,        22.90,        18.77,KOTAK NIFTY 100 LOW VOL 30 ETF
N,EQ,LOWVOLIETF,ICICI PR NIF LW VL 30 ETF,        21.19,        21.61,        21.61,        21.13,        21.21,                  6047235.42,284998,814,        26.81,        19.84,NIFTY 100 LOW VOLATILITY 30 INDEX
N,EQ,LTGILTBEES,NIP IND ETF LONGTERM GILT,        29.24,        29.26,        29.39,        29.26,        29.35,                 35459288.06,1208418,667,        30.13,        27.93,NIFTY 8-13 YR G-SEC INDEX
N,EQ,LTGILTCASE,ZERODHAAMC - LTGILTCASE,        29.82,        30.10,        30.10,        29.82,        29.90,                  3550012.94,118679,254,        30.94,        28.71,NIFTY 8-13 YR G-SEC INDEX
N,EQ,MAFANG,MIRAEAMC - MAFANG,       208.20,       206.92,       206.92,       206.92,       206.92,                 20190839.76,97578,1236,       208.38,       129.58,NYSE FANG+ TOTAL RETURN INDEX
N,EQ,MAHKTECH,MIRAEAMC - MAHKTECH,        25.01,        24.82,        24.82,        24.82,        24.82,                  7367717.72,296846,3188,        35.59,        20.51,HANG SENG TECH TOTAL RETURN INDEX
N,EQ,MAKEINDIA,MIRAEAMC - MAMFGETF,       160.05,       161.14,       161.29,       159.26,       159.75,                  5753169.92,35949,333,       167.77,       120.00,NIFTY INDIA MANUFACTURING TOTAL RETURN INDEX
